Full_String,Genre_Code,Sub_Code,Qualifier,Genre_Desc,Sub_Desc
T11.7  Fashion & Beauty,11,7,0,"Lifestyle, Hobbies and Leisure", Fashion & Beauty
T12.0  Transport: General,12,0,0,Transport, Transport: General
T12.1  Road & Motor Vehicles: General Interest,12,1,0,Transport, Road & Motor Vehicles: General Interest
T12.2  Driving & The Highway Code,12,2,0,Transport, Driving & The Highway Code
T12.3  Vehicle Maintenance & Manuals,12,3,0,Transport, Vehicle Maintenance & Manuals
T12.4  Trains & Railways: General Interest,12,4,0,Transport, Trains & Railways: General Interest
"T12.5  Ships, Boats & Waterways: General Interest",12,5,0,Transport," Ships, Boats & Waterways: General Interest"
T12.6  Aircraft & Spacecraft: General Interest,12,6,0,Transport, Aircraft & Spacecraft: General Interest
T13.0  Humour: Collections & General,13,0,0,"Humour, Trivia and Puzzles", Humour: Collections & General
T13.1  Cartoons & Comic Strips,13,1,0,"Humour, Trivia and Puzzles", Cartoons & Comic Strips
T13.2  TV Tie-In Humour,13,2,0,"Humour, Trivia and Puzzles", TV Tie-In Humour
T13.3  Trivia & Quiz Books,13,3,0,"Humour, Trivia and Puzzles", Trivia & Quiz Books
T13.4  Puzzles,13,4,0,"Humour, Trivia and Puzzles", Puzzles
T14.0  General Atlases & Maps (not folded),14,0,0,Travel and Holiday, General Atlases & Maps (not folded)
T14.1  Road Atlases & Maps,14,1,0,Travel and Holiday, Road Atlases & Maps
T14.2  General Folded Maps & Walking Guides,14,2,0,Travel and Holiday, General Folded Maps & Walking Guides
T14.3  Travel & Holiday Guides: General,14,3,0,Travel and Holiday, Travel & Holiday Guides: General
T14.4  Phrasebooks,14,4,0,Travel and Holiday, Phrasebooks
T14.5  Where to Stay / Where to Eat & Drink,14,5,0,Travel and Holiday, Where to Stay / Where to Eat & Drink
T14.7  Cycling Maps & Guides,14,7,0,Travel and Holiday, Cycling Maps & Guides
T14.8  Street Maps & City Plans,14,8,0,Travel and Holiday, Street Maps & City Plans
T15.0  General Sport & Fitness Training,15,0,0,Sports and Active Pursuits, General Sport & Fitness Training
T15.0T  Sports Studies & PE: Textbooks & Study Guides,15,0,2,Sports and Active Pursuits, Sports Studies & PE: Textbooks & Study Guides
T15.1  Ball Games: Field & Outdoor,15,1,0,Sports and Active Pursuits, Ball Games: Field & Outdoor
T15.2  Ball Games: Court & Indoor,15,2,0,Sports and Active Pursuits, Ball Games: Court & Indoor
T15.3  Equestrian & Animal Sports,15,3,0,Sports and Active Pursuits, Equestrian & Animal Sports
T15.4  Motor Sports & Cycling,15,4,0,Sports and Active Pursuits, Motor Sports & Cycling
T15.5  Water Sports,15,5,0,Sports and Active Pursuits, Water Sports
T15.6  Athletics & Gymnastics,15,6,0,Sports and Active Pursuits, Athletics & Gymnastics
"T15.8  Fishing, Field Sports & Outdoor Activities",15,8,0,Sports and Active Pursuits," Fishing, Field Sports & Outdoor Activities"
T15.9  Boxing & Combat Sports,15,9,0,Sports and Active Pursuits, Boxing & Combat Sports
T16.0  Food & Drink: General,16,0,0,"Cookery, Food and Drink", Food & Drink: General
T16.1  National & Regional Cuisine,16,1,0,"Cookery, Food and Drink", National & Regional Cuisine
"T16.2  Health, Dieting & Wholefood Cookery",16,2,0,"Cookery, Food and Drink"," Health, Dieting & Wholefood Cookery"
T16.3  Vegetarian Cookery,16,3,0,"Cookery, Food and Drink", Vegetarian Cookery
T16.4  Wines,16,4,0,"Cookery, Food and Drink", Wines
T16.5  Other Beverages,16,5,0,"Cookery, Food and Drink", Other Beverages
T16.6  Entertainment & Etiquette,16,6,0,"Cookery, Food and Drink", Entertainment & Etiquette
T17.0  Self Improvement: General,17,0,0,Personal Development and Practical Advice, Self Improvement: General
T17.1  Careers & Success,17,1,0,Personal Development and Practical Advice, Careers & Success
"T17.2  Law, Citizenship & Rights",17,2,0,Personal Development and Practical Advice," Law, Citizenship & Rights"
T17.3  Money & Consumer Issues,17,3,0,Personal Development and Practical Advice, Money & Consumer Issues
T17.4  Language Learning: Self Study,17,4,0,Personal Development and Practical Advice, Language Learning: Self Study
T17.9  Popular Psychology,17,9,0,Personal Development and Practical Advice, Popular Psychology
T18.1  True Crime,18,1,0,True Crime and True Stories, True Crime
T18.2  True Military / Combat Stories,18,2,0,True Crime and True Stories, True Military / Combat Stories
T18.3  True Stories,18,3,0,True Crime and True Stories, True Stories
T18.5  Fiction Companions,18,5,0,True Crime and True Stories, Fiction Companions
